"m_id","forename","surname","dob","dob_approx","dob_position","dod","age_y","STAT_spouse","STAT_sibling","STAT_parent","STAT_children","ETURL"
15,"Algernon Henry","Barkworth","1864-06-04",0,NULL,"1945-01-05",47,NULL,NULL,NULL,NULL,"https://www.encyclopedia-titanica.org/titanic-survivor/algernon-barkworth.html"
16,"John David","Baumann","1864-02-09",0,NULL,"1912-04-15",48,NULL,NULL,NULL,NULL,"https://www.encyclopedia-titanica.org/titanic-victim/john-d-baumann.html"
17,"Hélène","Baxter","1862-03-29",0,NULL,"1923-06-18",50,NULL,NULL,NULL,NULL,"https://www.encyclopedia-titanica.org/titanic-survivor/helene-baxter.html"
18,"Quigg Edmond","Baxter","1887-07-13",0,NULL,"1912-04-15",24,NULL,NULL,NULL,NULL,"https://www.encyclopedia-titanica.org/titanic-victim/quigg-baxter.html"
19,"Albina","Bassani","1880-05-24",0,NULL,"1960-07-23",31,NULL,NULL,NULL,NULL,"https://www.encyclopedia-titanica.org/titanic-survivor/albina-bazzani.html"
20,"Thomson","Beattie","1875-11-25",0,NULL,"1912-04-15",36,NULL,NULL,NULL,NULL,"https://www.encyclopedia-titanica.org/titanic-victim/thomson-beattie.html"
21,"Richard Leonard","Beckwith","1874-11-09",0,NULL,"1933-04-11",37,1,NULL,NULL,NULL,"https://www.encyclopedia-titanica.org/titanic-survivor/richard-leonard-beckwith.html"
22,"Sarah Maybell","Beckwith","1865-09-21",0,NULL,"1955-02-11",46,1,NULL,NULL,1,"https://www.encyclopedia-titanica.org/titanic-survivor/sallie-beckwith.html"
23,"Karl Howell","Behr","1885-05-30",0,NULL,"1949-10-15",26,NULL,NULL,NULL,NULL,"https://www.encyclopedia-titanica.org/titanic-survivor/karl-howell-behr.html"
24,"Nellie Mayo","Bessette","1872-10-07",0,NULL,"1944-07-23",39,NULL,NULL,NULL,NULL,"https://www.encyclopedia-titanica.org/titanic-survivor/nellie-bessette.html"
25,"Rosalie","Bidois","1865-05-10",0,NULL,"1938-09-24",46,NULL,NULL,NULL,NULL,"https://www.encyclopedia-titanica.org/titanic-survivor/rosalie-bidois.html"
26,"Ellen","Bird","1881-04-08",0,NULL,"1949-09-11",31,NULL,NULL,NULL,NULL,"https://www.encyclopedia-titanica.org/titanic-survivor/ellen-bird.html"
27,"Jakob","Birnbaum","1887-08-24",0,NULL,"1912-04-15",24,NULL,NULL,NULL,NULL,"https://www.encyclopedia-titanica.org/titanic-victim/jakob-birnbaum.html"
28,"Dickinson H.","Bishop","1887-03-24",0,NULL,"1961-02-16",25,NULL,NULL,NULL,NULL,"https://www.encyclopedia-titanica.org/titanic-survivor/dickinson-bishop.html"
29,"Helen Margaret","Bishop","1892-05-19",0,NULL,"1916-03-15",19,NULL,NULL,NULL,NULL,"https://www.encyclopedia-titanica.org/titanic-survivor/helen-bishop.html"
30,"Mauritz Håkan","Björnström-Steffansson","1883-11-09",0,NULL,"1962-05-21",28,NULL,NULL,NULL,NULL,"https://www.encyclopedia-titanica.org/titanic-survivor/mauritz-hakan-bjornstrom-steffansson.html"
31,"Stephen Weart","Blackwell","1866-09-06",0,NULL,"1912-04-15",45,NULL,NULL,NULL,NULL,"https://www.encyclopedia-titanica.org/titanic-victim/stephen-weart-blackwell.html"
32,"Henry","Blank","1872-09-17",0,NULL,"1949-03-17",39,NULL,NULL,NULL,NULL,"https://www.encyclopedia-titanica.org/titanic-survivor/henry-blank.html"
33,"Caroline","Bonnell","1882-04-03",0,NULL,"1950-03-13",30,NULL,NULL,NULL,NULL,"https://www.encyclopedia-titanica.org/titanic-survivor/caroline-bonnell.html"
34,"Elizabeth","Bonnell","1850-07-29",0,NULL,"1936-02-20",61,NULL,NULL,NULL,NULL,"https://www.encyclopedia-titanica.org/titanic-survivor/elizabeth-bonnell.html"
35,"John James","Borebank","1870-05-01",0,NULL,"1912-04-15",41,NULL,NULL,NULL,NULL,"https://www.encyclopedia-titanica.org/titanic-victim/john-james-borebank.html"
36,"Grace Scott","Bowen","1867-03-09",0,NULL,"1945-05-03",45,NULL,NULL,NULL,NULL,"https://www.encyclopedia-titanica.org/titanic-survivor/grace-scott-bowen.html"
37,"Elsie Edith","Bowerman","1889-12-18",0,NULL,"1973-10-18",22,NULL,NULL,NULL,NULL,"https://www.encyclopedia-titanica.org/titanic-survivor/elsie-edith-bowerman.html"
38,"George Andrew","Brereton","1874-11-12",0,NULL,"1942-07-16",37,NULL,NULL,NULL,NULL,"https://www.encyclopedia-titanica.org/titanic-survivor/george-brereton.html"
39,"John Bertram","Brady","1870-12-03",0,NULL,"1912-04-15",41,NULL,NULL,NULL,NULL,"https://www.encyclopedia-titanica.org/titanic-victim/john-bertram-brady.html"
40,"Emil Franklin","Brandeis","1864-03-15",0,NULL,"1912-04-15",48,NULL,NULL,NULL,NULL,"https://www.encyclopedia-titanica.org/titanic-victim/emil-brandeis.html"
41,"Arthur Jackson","Brewe","1866-08-18",0,NULL,"1912-04-15",45,NULL,NULL,NULL,NULL,"https://www.encyclopedia-titanica.org/titanic-victim/arthur-jackson-brewe.html"
42,"Caroline Lane","Brown","1852-07-08",0,NULL,"1928-06-26",59,NULL,2,NULL,NULL,"https://www.encyclopedia-titanica.org/titanic-survivor/caroline-lane-brown.html"
43,"Margaret ","Brown","1867-07-18",0,NULL,"1932-10-26",44,NULL,NULL,NULL,NULL,"https://www.encyclopedia-titanica.org/titanic-survivor/molly-brown.html"
44,"Emma Eliza","Bucknell","1853-07-29",0,NULL,"1927-06-27",58,NULL,NULL,NULL,NULL,"https://www.encyclopedia-titanica.org/titanic-survivor/emma-bucknell.html"
45,"Elizabeth Margaret","Burns","1870-12-15",0,NULL,"1921-05-29",41,NULL,NULL,NULL,NULL,"https://www.encyclopedia-titanica.org/titanic-survivor/elizabeth-burns.html"
46,"Archibald Willingham","Butt","1865-09-26",0,NULL,"1912-04-15",46,NULL,NULL,NULL,NULL,"https://www.encyclopedia-titanica.org/titanic-victim/archibald-butt.html"
47,"Alexander Milne","Cairns","1883-04-19",0,NULL,"1912-04-15",28,NULL,NULL,NULL,NULL,"https://www.encyclopedia-titanica.org/titanic-victim/alexander-cairns.html"
48,"Edward Pennington","Calderhead","1869-06-04",0,NULL,"1961-04-05",42,NULL,NULL,NULL,NULL,"https://www.encyclopedia-titanica.org/titanic-survivor/edward-pennington-calderhead.html"
49,"Helen Churchill","Candee","1859-10-05",0,NULL,"1949-08-23",52,NULL,NULL,NULL,NULL,"https://www.encyclopedia-titanica.org/titanic-survivor/helen-churchill-candee.html"
50,"Charlotte Wardle","Cardeza","1854-04-10",0,NULL,"1939-08-01",58,NULL,NULL,NULL,1,"https://www.encyclopedia-titanica.org/titanic-survivor/charlotte-cardeza.html"
51,"Thomas Drake Martinez","Cardeza","1875-05-10",0,NULL,"1952-06-06",36,NULL,NULL,1,NULL,"https://www.encyclopedia-titanica.org/titanic-survivor/thomas-cardeza.html"
52,"Frans Olof","Carlsson","1878-09-29",0,NULL,"1912-04-15",33,NULL,NULL,NULL,NULL,"https://www.encyclopedia-titanica.org/titanic-victim/frans-olof-carlsson.html"
53,"Francisco Mauro Severiano","Carrau","1884-11-08",0,NULL,"1912-04-15",27,NULL,NULL,NULL,NULL,"https://www.encyclopedia-titanica.org/titanic-victim/francisco-carrau.html"
54,"José Pedro","Carraú-Esteves","1894-08-30",0,NULL,"1912-04-15",17,NULL,NULL,NULL,NULL,"https://www.encyclopedia-titanica.org/titanic-victim/jose-pedro-carrau.html"
55,"William Ernest","Carter","1875-06-19",0,NULL,"1940-03-20",36,1,NULL,NULL,2,"https://www.encyclopedia-titanica.org/titanic-survivor/william-carter.html"
56,"Lucile","Carter","1875-10-08",0,NULL,"1934-10-26",36,1,NULL,NULL,2,"https://www.encyclopedia-titanica.org/titanic-survivor/lucile-carter.html"
57,"Lucile Polk","Carter","1897-10-20",0,NULL,"1962-10-19",14,NULL,1,1,NULL,"https://www.encyclopedia-titanica.org/titanic-survivor/lucile-polk-carter.html"
58,"William Thornton II","Carter","1900-09-14",0,NULL,"1985-01-28",11,NULL,1,1,NULL,"https://www.encyclopedia-titanica.org/titanic-survivor/william-thornton-carter.html"
59,"Howard Brown","Case","1863-00-00",1,NULL,"1912-04-15",49,NULL,NULL,NULL,NULL,"https://www.encyclopedia-titanica.org/titanic-victim/howard-case.html"
60,"Eleanor Genevieve","Cassebeer","1875-11-29",0,NULL,"0000-00-00",36,NULL,NULL,NULL,NULL,"https://www.encyclopedia-titanica.org/titanic-survivor/eleanor-cassebeer.html"
61,"Tyrell William","Cavendish","1875-10-12",0,NULL,"1912-04-15",36,NULL,NULL,NULL,NULL,"https://www.encyclopedia-titanica.org/titanic-victim/tyrell-william-cavendish.html"
62,"Julia Florence","Cavendish","1886-11-03",0,NULL,"1963-01-16",25,NULL,NULL,NULL,NULL,"https://www.encyclopedia-titanica.org/titanic-survivor/julia-florence-cavendish.html"
63,"Herbert Fuller","Chaffee","1865-11-20",0,NULL,"1912-04-15",46,NULL,NULL,NULL,NULL,"https://www.encyclopedia-titanica.org/titanic-victim/herbert-fuller-chaffee.html"
64,"Carrie Constance","Chaffee","1864-08-28",0,NULL,"1931-07-04",47,NULL,NULL,NULL,NULL,"https://www.encyclopedia-titanica.org/titanic-survivor/carrie-constance-chaffee.html"
65,"Norman Campbell","Chambers","1884-04-27",0,NULL,"1966-02-09",27,NULL,NULL,NULL,NULL,"https://www.encyclopedia-titanica.org/titanic-survivor/norman-campbell-chambers.html"
66,"Bertha","Chambers","1879-10-10",0,NULL,"1959-10-18",32,NULL,NULL,NULL,NULL,"https://www.encyclopedia-titanica.org/titanic-survivor/bertha-chambers.html"
67,"Victorine","Chaudanson","1875-09-28",0,NULL,"1962-08-13",36,NULL,NULL,NULL,NULL,"https://www.encyclopedia-titanica.org/titanic-survivor/victorine-chaudanson.html"
68,"Gladys","Cherry","1881-08-27",0,NULL,"1965-05-04",30,NULL,NULL,NULL,NULL,"https://www.encyclopedia-titanica.org/titanic-survivor/gladys-cherry.html"
69,"Paul Romaine Marie Léonce","Chevré","1866-07-05",0,NULL,"1914-02-20",45,NULL,NULL,NULL,NULL,"https://www.encyclopedia-titanica.org/titanic-survivor/paul-chevre.html"
70,"Edith Martha Bowerman","Chibnall","1864-02-27",0,NULL,"1953-10-08",48,NULL,NULL,NULL,NULL,"https://www.encyclopedia-titanica.org/titanic-survivor/edith-martha-chibnall.html"
71,"Roderick","Chisholm","1868-12-20",0,NULL,"1912-04-15",43,NULL,NULL,NULL,NULL,"https://www.encyclopedia-titanica.org/titanic-victim/roderick-chisholm.html"
72,"Walter Miller","Clark","1884-05-13",0,NULL,"1912-04-15",27,NULL,NULL,NULL,NULL,"https://www.encyclopedia-titanica.org/titanic-victim/walter-miller-clark.html"
73,"Virginia Estelle","Clark","1885-05-30",0,NULL,"1958-12-21",26,NULL,NULL,NULL,NULL,"https://www.encyclopedia-titanica.org/titanic-survivor/virginia-clark.html"
74,"Alice Catherine","Cleaver","1889-07-05",0,NULL,"1984-11-01",22,NULL,NULL,NULL,NULL,"https://www.encyclopedia-titanica.org/titanic-survivor/alice-cleaver.html"
75,"George Quincy","Clifford","1871-11-20",0,NULL,"1912-04-15",40,NULL,NULL,NULL,NULL,"https://www.encyclopedia-titanica.org/titanic-victim/george-quincy-clifford.html"
76,"Edward Pomeroy","Colley","1875-04-15",0,NULL,"1912-04-15",37,NULL,NULL,NULL,NULL,"https://www.encyclopedia-titanica.org/titanic-victim/edward-pomeroy-colley.html"
77,"Mary Eliza","Compton","1847-08-07",0,NULL,"1930-12-04",64,NULL,NULL,NULL,NULL,"https://www.encyclopedia-titanica.org/titanic-survivor/mary-eliza-compton.html"
78,"Sara Rebecca","Compton","1872-04-30",0,NULL,"1952-06-16",39,NULL,NULL,NULL,NULL,"https://www.encyclopedia-titanica.org/titanic-survivor/sara-rebecca-compton.html"
79,"Alexander Taylor jr","Compton","1874-08-16",0,NULL,"1912-04-15",37,NULL,NULL,NULL,NULL,"https://www.encyclopedia-titanica.org/titanic-victim/alexander-taylor-compton.html"
80,"Malvina Helen","Cornell","1856-12-10",0,NULL,"1941-07-12",55,NULL,2,NULL,NULL,"https://www.encyclopedia-titanica.org/titanic-survivor/malvina-helen-cornell.html"
81,"John Bertram","Crafton","1853-04-20",0,NULL,"1912-04-15",58,NULL,NULL,NULL,NULL,"https://www.encyclopedia-titanica.org/titanic-victim/john-bertram-crafton.html"
82,"Edward Gifford","Crosby","1842-02-18",0,NULL,"1912-04-15",70,NULL,NULL,NULL,1,"https://www.encyclopedia-titanica.org/titanic-victim/edward-gifford-crosby.html"
83,"Catherine Elizabeth","Crosby","1847-10-26",0,NULL,"1920-07-29",64,NULL,NULL,NULL,1,"https://www.encyclopedia-titanica.org/titanic-survivor/catherine-elizabeth-crosby.html"
84,"Harriette Rebecca","Crosby","1872-10-08",0,NULL,"1941-02-11",39,NULL,NULL,2,NULL,"https://www.encyclopedia-titanica.org/titanic-survivor/harriette-rebecca-crosby.html"
85,"John Bradley","Cumings","1872-09-26",0,NULL,"1912-04-15",39,1,NULL,NULL,NULL,"https://www.encyclopedia-titanica.org/titanic-victim/john-bradley-cumings.html"
86,"Florence Briggs","Cumings","1876-12-31",0,NULL,"1949-09-02",35,1,NULL,NULL,NULL,"https://www.encyclopedia-titanica.org/titanic-survivor/florence-briggs-cumings.html"
87,"Peter Dennis","Daly","1860-07-17",0,NULL,"1932-12-24",51,NULL,NULL,NULL,NULL,"https://www.encyclopedia-titanica.org/titanic-survivor/peter-dennis-daly.html"
88,"Robert Williams","Daniel","1884-09-11",0,NULL,"1940-12-20",27,NULL,NULL,NULL,NULL,"https://www.encyclopedia-titanica.org/titanic-survivor/robert-williams-daniel.html"
89,"Sarah Rebecca","Daniels","1875-11-10",0,NULL,"0000-00-00",36,NULL,NULL,NULL,NULL,"https://www.encyclopedia-titanica.org/titanic-survivor/sarah-daniels.html"
90,"Thornton","Davidson","1880-05-17",0,NULL,"1912-04-15",31,NULL,NULL,NULL,NULL,"https://www.encyclopedia-titanica.org/titanic-victim/thornton-davidson.html"
91,"Orian","Davidson","1884-11-18",0,NULL,"1979-05-03",27,NULL,NULL,NULL,NULL,"https://www.encyclopedia-titanica.org/titanic-survivor/orian-davidson.html"
92,"Albert Adrian","Dick","1880-07-29",0,NULL,"1970-06-02",31,NULL,NULL,NULL,NULL,"https://www.encyclopedia-titanica.org/titanic-survivor/albert-adrian-dick.html"
93,"Vera","Dick","1894-06-12",0,NULL,"1973-10-07",17,NULL,NULL,NULL,NULL,"https://www.encyclopedia-titanica.org/titanic-survivor/vera-dick.html"
94,"Washington","Dodge","1859-06-03",0,NULL,"1919-06-30",52,1,NULL,NULL,1,"https://www.encyclopedia-titanica.org/titanic-survivor/washington-dodge.html"
95,"Ruth","Dodge","1874-03-27",0,NULL,"1950-07-25",38,1,NULL,NULL,1,"https://www.encyclopedia-titanica.org/titanic-survivor/ruth-dodge.html"
96,"Washington","Dodge","1907-09-23",0,NULL,"1974-12-03",4,NULL,NULL,2,NULL,"https://www.encyclopedia-titanica.org/titanic-survivor/washington-dodge-jr.html"
97,"Walter Donald","Douglas","1861-04-21",0,NULL,"1912-04-15",50,1,NULL,NULL,NULL,"https://www.encyclopedia-titanica.org/titanic-victim/walter-donald-douglas.html"
98,"Mahala","Douglas","1864-01-26",0,NULL,"1945-04-21",48,1,NULL,NULL,NULL,"https://www.encyclopedia-titanica.org/titanic-survivor/mahala-douglas.html"
99,"Mary Hélène","Douglas","1885-04-04",0,NULL,"1954-12-31",27,NULL,NULL,NULL,NULL,"https://www.encyclopedia-titanica.org/titanic-survivor/mary-helene-douglas.html"
100,"Cosmo Edmund","Duff Gordon","1862-07-22",0,NULL,"1931-04-20",49,1,NULL,NULL,NULL,"https://www.encyclopedia-titanica.org/titanic-survivor/sir-cosmo-duff-gordon.html"
101,"Lucy Christiana, Lady","Duff Gordon","1863-06-13",0,NULL,"1935-04-20",48,1,NULL,NULL,NULL,"https://www.encyclopedia-titanica.org/titanic-survivor/lady-duff-gordon.html"
102,"William Crothers","Dulles","1872-12-21",0,NULL,"1912-04-15",39,NULL,NULL,NULL,NULL,"https://www.encyclopedia-titanica.org/titanic-victim/william-crothers-dulles.html"
103,"Olive","Earnshaw","1888-09-09",0,NULL,"1958-04-21",23,NULL,NULL,1,NULL,"https://www.encyclopedia-titanica.org/titanic-survivor/olive-earnshaw.html"
104,"Caroline Louise","Endres","1872-06-14",0,NULL,"1964-01-11",39,NULL,NULL,NULL,NULL,"https://www.encyclopedia-titanica.org/titanic-survivor/caroline-endres.html"
105,"Elizabeth Mussey","Eustis","1858-03-01",0,NULL,"1936-05-17",54,NULL,1,NULL,NULL,"https://www.encyclopedia-titanica.org/titanic-survivor/elizabeth-mussey-eustis.html"
106,"Edith Corse","Evans","1875-09-21",0,NULL,"1912-04-15",36,NULL,NULL,NULL,NULL,"https://www.encyclopedia-titanica.org/titanic-victim/edith-corse-evans.html"
107,"John","Farthing","1863-00-00",1,"A","1912-04-15",48,NULL,NULL,NULL,NULL,"https://www.encyclopedia-titanica.org/titanic-victim/john-farthing.html"
108,"Antoinette","Flegenheim","1863-05-11",0,NULL,"1943-04-08",48,NULL,NULL,NULL,NULL,"https://www.encyclopedia-titanica.org/titanic-survivor/antoinette-flegenheim.html"
109,"Margaret","Fleming","1870-01-31",0,NULL,"1941-08-24",42,NULL,NULL,NULL,NULL,"https://www.encyclopedia-titanica.org/titanic-survivor/margaret-fleming.html"
110,"John Irwin","Flynn","1875-06-26",0,NULL,"1951-11-23",36,NULL,NULL,NULL,NULL,"https://www.encyclopedia-titanica.org/titanic-survivor/john-irwin-flynn.html"
111,"Benjamin Laventall","Foreman","1881-11-07",1,NULL,"1912-04-15",30,NULL,NULL,NULL,NULL,"https://www.encyclopedia-titanica.org/titanic-victim/benjamin-foreman.html"
112,"Mark","Fortune","1847-11-02",0,NULL,"1912-04-15",64,1,NULL,NULL,4,"https://www.encyclopedia-titanica.org/titanic-victim/mark-fortune.html"
113,"Mary","Fortune","1851-05-06",0,NULL,"1929-03-08",60,1,NULL,NULL,4,"https://www.encyclopedia-titanica.org/titanic-survivor/mary-fortune.html"
114,"Ethel Flora","Fortune","1883-09-22",0,NULL,"1961-03-21",28,NULL,3,2,NULL,"https://www.encyclopedia-titanica.org/titanic-survivor/ethel-flora-fortune.html"
115,"Alice Elizabeth","Fortune","1887-05-10",0,NULL,"1961-04-07",24,NULL,3,2,NULL,"https://www.encyclopedia-titanica.org/titanic-survivor/alice-elizabeth-fortune.html"
116,"Mabel Helen","Fortune","1888-11-03",0,NULL,"1968-02-19",23,NULL,3,2,NULL,"https://www.encyclopedia-titanica.org/titanic-survivor/mabel-helen-fortune.html"
117,"Charles Alexander","Fortune","1892-10-13",0,NULL,"1912-04-15",19,NULL,3,2,NULL,"https://www.encyclopedia-titanica.org/titanic-victim/charles-alexander-fortune.html"
118,"Laura Mabel","Francatelli","1880-04-21",0,NULL,"1967-06-02",31,NULL,NULL,NULL,NULL,"https://www.encyclopedia-titanica.org/titanic-survivor/laura-mabel-francatelli.html"
119,"Thomas Parnham","Franklin","1874-05-09",0,NULL,"1912-04-15",37,NULL,NULL,NULL,NULL,"https://www.encyclopedia-titanica.org/titanic-victim/thomas-parnham-franklin.html"
120,"Isaac Gerald","Frauenthal","1868-10-07",0,NULL,"1932-11-16",43,NULL,NULL,NULL,NULL,"https://www.encyclopedia-titanica.org/titanic-survivor/isaac-gerald-frauenthal.html"
121,"Henry William","Frauenthal","1863-03-13",0,NULL,"1927-03-11",49,1,NULL,NULL,NULL,"https://www.encyclopedia-titanica.org/titanic-survivor/henry-william-frauenthal.html"
122,"Clara","Frauenthal","1869-12-01",0,NULL,"1943-03-30",42,1,NULL,NULL,NULL,"https://www.encyclopedia-titanica.org/titanic-survivor/clara-frauenthal.html"
123,"Hedwig Margaritha","Frölicher","1889-08-13",0,NULL,"1972-07-16",22,NULL,NULL,2,NULL,"https://www.encyclopedia-titanica.org/titanic-survivor/hedwig-margaritha-frolicher.html"
124,"Maximilian Josef","Frölicher-Stehli","1851-09-24",0,NULL,"1913-11-22",60,1,NULL,NULL,1,"https://www.encyclopedia-titanica.org/titanic-survivor/maximilian-frolicher-stehli.html"
125,"Margaretha Emerentia","Frölicher-Stehli","1864-02-15",0,NULL,"1955-03-21",48,1,NULL,NULL,1,"https://www.encyclopedia-titanica.org/titanic-survivor/margaretha-frolicher-stehli.html"
126,"Richard Thomas","Fry","1872-11-23",0,NULL,"1912-04-15",39,NULL,NULL,NULL,NULL,"https://www.encyclopedia-titanica.org/titanic-victim/richard-fry.html"
127,"Jacques Heath","Futrelle","1875-04-09",0,NULL,"1912-04-15",37,NULL,NULL,NULL,NULL,"https://www.encyclopedia-titanica.org/titanic-victim/jacques-futrelle.html"
128,"Lily May","Futrelle","1876-05-26",0,NULL,"1967-10-29",35,NULL,NULL,NULL,NULL,"https://www.encyclopedia-titanica.org/titanic-survivor/lily-may-futrelle.html"
129,"Arthur H.","Gee","1865-03-21",0,NULL,"1912-04-15",47,NULL,NULL,NULL,NULL,"https://www.encyclopedia-titanica.org/titanic-victim/arthur-gee.html"
130,"Pauline Caroline","Gibson","1866-06-30",0,NULL,"1961-03-20",45,NULL,NULL,NULL,NULL,"https://www.encyclopedia-titanica.org/titanic-survivor/pauline-gibson.html"
131,"Dorothy Winifred","Gibson","1889-05-17",0,NULL,"1946-02-17",22,NULL,NULL,NULL,NULL,"https://www.encyclopedia-titanica.org/titanic-survivor/dorothy-gibson.html"
132,"Amalie Henriette","Gieger","1876-08-26",1,NULL,"1933-11-14",35,NULL,NULL,NULL,NULL,"https://www.encyclopedia-titanica.org/titanic-survivor/emily-gieger.html"
133,"Victor Gaitan Andrea","Giglio","1888-06-17",0,NULL,"1912-04-15",23,NULL,NULL,NULL,NULL,"https://www.encyclopedia-titanica.org/titanic-victim/victor-giglio.html"
134,"Samuel Levi","Goldenberg","1864-09-08",0,NULL,"1936-10-11",47,NULL,NULL,NULL,NULL,"https://www.encyclopedia-titanica.org/titanic-survivor/samuel-goldenberg.html"
135,"Nella Carlynne","Goldenberg","1866-02-02",1,NULL,"1947-10-09",46,NULL,NULL,NULL,NULL,"https://www.encyclopedia-titanica.org/titanic-survivor/nella-goldenberg.html"
136,"George B.","Goldschmidt","1840-10-16",0,NULL,"1912-04-15",71,NULL,NULL,NULL,NULL,"https://www.encyclopedia-titanica.org/titanic-victim/george-goldschmidt.html"
137,"Archibald","Gracie","1859-01-17",0,NULL,"1912-12-04",53,NULL,NULL,NULL,NULL,"https://www.encyclopedia-titanica.org/titanic-survivor/colonel-archibald-gracie.html"
138,"George Edward","Graham","1873-06-11",0,NULL,"1912-04-15",38,NULL,NULL,NULL,NULL,"https://www.encyclopedia-titanica.org/titanic-victim/george-edward-graham.html"
139,"Edith","Graham","1853-10-00",1,NULL,"1924-12-29",58,NULL,NULL,NULL,NULL,"https://www.encyclopedia-titanica.org/titanic-survivor/edith-graham.html"
140,"Margaret Edith","Graham","1893-02-16",0,NULL,"1976-04-26",19,NULL,NULL,NULL,NULL,"https://www.encyclopedia-titanica.org/titanic-survivor/margaret-edith-graham.html"
141,"Blanche","Greenfield","1867-02-21",0,NULL,"1936-11-05",45,NULL,NULL,NULL,NULL,"https://www.encyclopedia-titanica.org/titanic-survivor/blanche-greenfield.html"
142,"William Bertram","Greenfield","1888-05-11",0,NULL,"1949-11-12",23,NULL,NULL,NULL,NULL,"https://www.encyclopedia-titanica.org/titanic-survivor/william-bertram-greenfield.html"
143,"Benjamin","Guggenheim","1865-10-26",0,NULL,"1912-04-15",46,NULL,NULL,NULL,NULL,"https://www.encyclopedia-titanica.org/titanic-victim/benjamin-guggenheim.html"
144,"George Achilles","Harder","1886-10-22",0,NULL,"1959-05-26",25,1,NULL,NULL,NULL,"https://www.encyclopedia-titanica.org/titanic-survivor/george-achilles-harder.html"
145,"Dorothy","Harder","1890-07-04",0,NULL,"1926-12-01",21,1,NULL,NULL,NULL,"https://www.encyclopedia-titanica.org/titanic-survivor/dorothy-harder.html"
146,"Henry Sleeper","Harper","1864-03-11",0,NULL,"1944-03-01",48,NULL,NULL,NULL,NULL,"https://www.encyclopedia-titanica.org/titanic-survivor/henry-sleeper-harper.html"
147,"Myra Raymond","Harper","1863-02-10",0,NULL,"1923-11-14",49,NULL,NULL,NULL,NULL,"https://www.encyclopedia-titanica.org/titanic-survivor/myra-harper.html"
148,"Charles Henry","Harrington","1875-00-00",1,NULL,"1912-04-15",37,NULL,NULL,NULL,NULL,"https://www.encyclopedia-titanica.org/titanic-victim/charles-harrington.html"
149,"Henry Burkhardt","Harris","1866-12-01",0,NULL,"1912-04-15",45,NULL,NULL,NULL,NULL,"https://www.encyclopedia-titanica.org/titanic-victim/henry-birkhardt-harris.html"
150,"Irene","Harris","1876-07-15",0,NULL,"1969-09-02",35,NULL,NULL,NULL,NULL,"https://www.encyclopedia-titanica.org/titanic-survivor/irene-harris.html"
